BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,pupils_total
01BO00,SSBO Toermalijn,Emmen,7822EM,Sbo,0.0,265.0,0.0,0.5623,129
01CE00,SSBO De Twine,Noardeast-FryslÔn,9101AB,Sbo,0.0,229.38,0.0,0.5177,228
01CX00,SSBO De Vonder,Hardenberg,7776BE,Sbo,0.08,258.05,0.0003,0.5539,85
01DM00,SSBO Het Mozaiek,Sittard-Geleen,6135GC,Sbo,0.05,218.0,0.0002,0.5024,185
01FJ00,SSBO De Prinsenhof,Apeldoorn,7316DK,Sbo,0.0,407.62,0.0,0.7055,124
01FN00,"SSBO SAM, loc Boddens Hosang",Doetinchem,7002JA,Sbo,0.04,200.05,0.0002,0.4772,234
01GE00,SSBO De Horst,Echt-Susteren,6101NM,Sbo,0.0,259.29,0.0,0.5554,143
01GQ00,RK SSBO Carolus,Berg en Dal,6561AR,Sbo,0.0,303.19,0.0,0.6055,79
01JQ00,SSBO De Windvang,Katwijk,2221SC,Sbo,0.0,335.1,0.0,0.6386,141
01JW00,SBO De Kristal,Stichtse Vecht,3607TC,Sbo,0.88,351.0,0.0038,0.6542,123
01KJ00,De Keerkring,Woerden,3443EJ,Sbo,0.0,329.38,0.0,0.6328,240
01KY00,SSBO De Baldakijn,Stadskanaal,9501TJ,Sbo,0.03,205.24,0.0001,0.4846,214
01KZ00,SBO,Twenterand,7681ZN,Sbo,0.0,267.43,0.0,0.5652,113
01LP00,"Nexus, jouw impuls",Heerhugowaard,1701AA,Sbo,0.0,309.48,0.0,0.6122,111
01ST00,"Rehoboth SBO, Ochten",Neder-Betuwe,4051KA,Sbo,1.37,315.24,0.0059,0.6183,113
01UR00,SBO De Piramide,Hoorn,1624EH,Sbo,2.24,317.48,0.0096,0.6206,368
01VE00,GBS De Bron,Barneveld,3771CS,Bo,30.57,377.38,0.1158,0.6789,103
01VF00,SBO Professor Dumont,Amsterdam,1107NG,Sbo,0.08,299.62,0.0004,0.6016,140
01VG00,Jenaplansch T Vlot,Midden-Groningen,9602KZ,Bo,27.44,154.43,0.1053,0.4056,93
01VG01,Peter Petersenschool,Groningen,9751SL,Bo,47.4,435.29,0.1685,0.7286,181
01VI00,De Parkschool,Amersfoort,3813LW,Bo,22.65,339.81,0.0887,0.6433,124
01VQ00,Rk Bs Beekvliet,Velsen,1991ET,Bo,35.22,413.62,0.131,0.7106,340
01VR00,Montessorischool,Zuidplas,2912CR,Bo,34.28,340.62,0.128,0.6441,152
01VY00,Basissch De Lingewaard,Molenlanden,4241CA,Bo,27.53,316.57,0.1056,0.6197,179
01WQ00,Geref Basissch De Rank,Noordenveld,9301KE,Bo,42.89,272.14,0.155,0.5707,104
01WU00,Vrije Sch De Regenboog,Eindhoven,5643CJ,Bo,38.1,317.0,0.1402,0.6201,305
01XH00,Basisschool De Ammers,Molenlanden,2964CC,Bo,23.21,352.14,0.0906,0.6553,90
01XT00,De Balans Chr. Sch. v. SBO,Capelle aan den IJssel,2901CL,Sbo,0.0,367.86,0.0,0.6701,112
01XU00,Hildegaertschool,Rotterdam,3055TE,Bo,49.75,637.76,0.1754,0.8679,312
01ZA00,SSBO De Wissel,Tiel,4002AZ,Sbo,0.0,353.1,0.0,0.6562,189
02AJ00,Chr SSBO De Vogelhorst,Barneveld,3772TX,Sbo,0.0,349.29,0.0,0.6525,193
02BJ00,Aquamarijn,Leeuwarden,8918CT,Sbo,0.03,159.29,0.0001,0.4138,296
02CO00,Chr SSBO De Wegwijzer,Goeree-Overflakkee,3241AD,Sbo,2.98,297.9,0.0127,0.5998,78
02CQ00,SSBO De Vlinderboom,Lingewaard,6681BN,Sbo,0.0,360.1,0.0,0.6628,254
02CX00,SSBO Koningin Emma,Nijkerk,3861LT,Sbo,0.0,368.86,0.0,0.671,120
02EG00,SBO De Fontein,Peel en Maas,5988AW,Sbo,0.11,328.38,0.0005,0.6318,58
02EH00,SSBO De Zeearend,Beverwijk,1945NC,Sbo,0.0,280.81,0.0,0.5807,107
02FI00,SBO De Diamant,Westland,2671GM,Sbo,1.39,376.43,0.006,0.678,418
02NY00,De Klaproos,Arnhem,6815EC,Sbo,0.81,386.67,0.0035,0.6872,156
02RC00,SSBO De Driemaster,Bergen op Zoom,4615BP,Sbo,0.43,242.0,0.0019,0.534,224
02RG00,SBO De Maremak,Boxtel,5283XH,Sbo,0.0,280.0,0.0,0.5798,20
02RQ00,RK SSBO St Vincentius,Edam-Volendam,1131BJ,Sbo,0.24,316.62,0.001,0.6197,117
02RS00,SBO De Blinker,Sittard-Geleen,6166XM,Sbo,0.16,213.2,0.0007,0.4958,183
02RT00,SSBO Petrus Donders,Gemert-Bakel,5421HB,Sbo,0.22,324.57,0.0009,0.628,192
02RU00,SSBO De Piramide,Gennep,6591JE,Sbo,0.14,279.67,0.0006,0.5794,159
02SG00,SBO De Toermalijn,Helmond,5702PW,Sbo,0.0,222.81,0.0,0.5089,182
02SO00,SSBO Don Bosco,Lisse,2162VW,Sbo,0.0,356.29,0.0,0.6592,169
02TL00,SSBO De Dolfijn,Uithoorn,1422WX,Sbo,1.45,378.1,0.0063,0.6795,216
02WC00,Nieuw Hessen,Aalten,7121MG,Sbo,0.71,268.48,0.0031,0.5664,85
02WR00,SSBO Fiducia,Groningen,9728CR,Sbo,0.04,292.0,0.0002,0.5933,220
02WU00,Chr SSBO De Springplank,Harderwijk,3844DH,Sbo,0.37,302.9,0.0016,0.6052,225
02WW00,SSBO De Klimboom,Haarlemmermeer,2134SB,Sbo,5.81,427.81,0.0245,0.7225,117
02WY00,SBO Prisma,Kampen,8264PB,Sbo,0.0,298.38,0.0,0.6003,113
02WZ00,SBO Het Palet,Moerdijk,4791JL,Sbo,0.0,283.05,0.0,0.5833,162
02XG00,SSBO Mozaik,Oisterwijk,5061TB,Sbo,2.12,346.81,0.0091,0.6501,149
02YE00,SSBO De Brug,Zwolle,8019BR,Sbo,0.18,564.33,0.0008,0.8224,165
02ZF00,obs De Vlindertuin,Vijfheerenlanden,4233HG,Bo,28.62,314.86,0.1093,0.6179,73
02ZW00,GBS 't Schrijvertje,Apeldoorn,7322CL,Bo,42.63,294.62,0.1542,0.5962,167
02ZY00,Geref Bs De Wingerd,Goes,4464JA,Bo,43.37,381.48,0.1565,0.6826,168
03AF00,CSBO Bergkristal,Rotterdam,3037GM,Sbo,0.0,345.29,0.0,0.6486,122
03AG00,PC Basissch De Hoeksteen,Velsen,1991ET,Bo,34.11,413.62,0.1275,0.7106,151
03AH00,Venlose Montessorischool,Venlo,5914SH,Bo,21.98,219.48,0.0863,0.5044,84
03AI00,De Kleine Prins,Doetinchem,7007BK,Bo,27.39,303.57,0.1051,0.6059,65
03AN00,Basisschool Azelo,Hof van Twente,7495TW,Bo,28.45,428.24,0.1087,0.7228,53
03AP00,Basisschool De Belhamel,Valkenswaard,5551EG,Bo,27.46,337.67,0.1054,0.6411,91
03AZ00,Geref Basissch De Rank,Alkmaar,1817HJ,Bo,29.85,369.19,0.1135,0.6713,101
03BA00,Jan V Rijckenborghschool,Hilversum,1222SX,Bo,27.07,338.38,0.1041,0.6419,52
03BI00,SSBO Eliezer,Zwolle,8043PD,Sbo,0.0,348.05,0.0,0.6513,86
03BR00,Basisschool De Kring,Beek,6191PD,Bo,20.35,268.94,0.0804,0.567,69
03BS00,OBS Dr M L Kingschool,Dinkelland,7591XJ,Bo,23.87,307.33,0.093,0.6099,132
03BT00,OBS Prinses Irene,Hardenberg,7783BM,Bo,16.65,254.48,0.0669,0.5496,54
03BU00,Basisischool Margriet,Haarlemmermeer,1165GL,Bo,41.28,368.0,0.1501,0.6702,32
03BV00,De Trumakkers,Heeze-Leende,5591NG,Bo,28.97,411.67,0.1105,0.709,161
03BX00,OBS De Hobbitstee,Montfoort,3417WD,Bo,27.01,395.81,0.1038,0.6953,129
03BY00,OBS De Wijzer,West Maas en Waal,6658WS,Bo,29.69,327.57,0.1129,0.631,186
03CG00,De Fakkel,Haarlemmermeer,2152KL,Sbo,2.42,429.19,0.0104,0.7236,158
03CJ00,Montessorischool,Goes,4462EK,Bo,33.12,261.24,0.1242,0.5578,91
03CL00,Lubertischool,Texel,1796AH,Bo,34.87,395.33,0.1299,0.6949,53
03CO00,GBS De Wegwijzer,Steenwijkerland,8331MZ,Bo,25.39,210.71,0.0983,0.4924,66
03CT00,De Golfslag,Veere,4357EN,Bo,28.81,465.29,0.11,0.7523,89
03CV00,De Zwerm,Schagen,1744KJ,Bo,31.12,357.81,0.1177,0.6607,52
03DF00,OBS Kromme Akkers,Westerkwartier,9893PD,Bo,37.5,229.95,0.1383,0.5185,58
03DG00,OBS Klinkenborg,Het Hogeland,9995PN,Bo,30.94,197.19,0.1171,0.473,23
03DH00,OBS De Omnibus,Peel en Maas,5991PX,Bo,24.53,316.05,0.0953,0.6191,123
03DJ00,Basisschool De Jutter,Vlieland,8899BD,Bo,23.41,348.29,0.0914,0.6516,51
03DK00,Openbare Basisschool,Bronckhorst,7251BC,Bo,24.53,387.76,0.0953,0.6882,109
03DV00,OBS Prins Claus,Montfoort,3461GH,Bo,38.83,369.71,0.1425,0.6718,124
03DW00,Obs Houwingaham,Oldambt,9693BG,Bo,21.88,155.55,0.0859,0.4075,53
03DX00,Jan Prins,Rotterdam,3011GM,Bo,35.13,386.43,0.1308,0.687,203
03EE00,De Wereldboom,Hulst,4561KZ,Bo,19.19,249.29,0.0762,0.5432,118
03EH00,De Wereldweide,Oldebroek,8091VK,Bo,34.54,323.0,0.1288,0.6263,31
03EI00,OBS Usquert,Het Hogeland,9988SC,Bo,18.18,201.62,0.0725,0.4795,48
03EJ00,De Smeltkroes,Coevorden,7852TJ,Bo,0.0,440.0,0.0,0.7324,14
03ES00,OBS De Rijnschans,Alphen aan den Rijn,2396XD,Bo,30.61,368.62,0.116,0.6708,135
03EU00,De Winde,Pijnacker-Nootdorp,2631PT,Bo,28.48,480.38,0.1088,0.7637,224
03EV00,OBS De Klimop,Reusel-De Mierden,5541GH,Bo,20.93,372.83,0.0825,0.6747,150
03FH00,De Schutse,Midden-Delfland,3155BM,Bo,25.53,433.62,0.0987,0.7272,81
